city,ds,y,aqi,temp,humidity,flu_cases,dengue_cases,event,holiday
Mumbai,2020-01-01,262,41.412817549389324,32.28529191445517,49.860867459023964,32,5,0,0
Mumbai,2020-01-02,288,72.38137263354562,38.751244863668624,66.6481311966179,31,2,0,0
Mumbai,2020-01-03,284,101.62669258913715,28.875995258001943,79.80367131806398,42,2,0,0
Mumbai,2020-01-04,278,65.55498744965753,23.277925061572287,65.37763473108456,36,5,0,1
Mumbai,2020-01-05,268,77.29773409215571,30.69652693425712,78.98083004897924,27,6,0,1
Mumbai,2020-01-06,253,27.317586532828912,27.232008139410443,77.11764744108817,42,3,0,0
Mumbai,2020-01-07,247,122.3685137565589,35.97633291908927,63.27072710515526,23,6,0,0
Mumbai,2020-01-08,240,91.40415046590229,32.44229174816491,72.0466540091263,33,2,0,0
Mumbai,2020-01-09,281,98.36330495058115,33.607558200984826,76.50480041283967,31,11,0,0
Mumbai,2020-01-10,274,84.51590689387808,25.36718899541629,62.03764057366168,20,6,0,0
Mumbai,2020-01-11,292,113.98224570927887,29.487315632822696,55.836812947350715,33,4,0,1
Mumbai,2020-01-12,329,76.5245180948501,34.190450988851026,78.48801824201772,34,3,1,1
Mumbai,2020-01-13,257,100.39739815016193,37.671665383530055,31.197728897729483,30,3,0,0
Mumbai,2020-01-14,277,87.88234592212217,28.59139701247166,70.1983235674326,35,2,0,0
Mumbai,2020-01-15,255,63.89744982741671,28.969313874447487,90.55677037693673,36,6,0,0
Mumbai,2020-01-16,245,57.7720889500461,35.902436387726546,88.51592050664676,38,3,0,0
Mumbai,2020-01-17,275,91.05137747023159,30.58562758265889,79.3745414030777,30,9,0,0
Mumbai,2020-01-18,306,125.78246205914084,30.33774902359051,62.960579771938455,21,3,0,1
Mumbai,2020-01-19,307,81.58711783916846,31.763855133901366,56.893334530145744,35,6,0,1
Mumbai,2020-01-20,244,76.40998571089722,29.275183292585343,72.35551466347736,29,4,0,0
Mumbai,2020-01-21,259,87.23993183830561,25.324626134966312,75.4112563903645,37,5,0,0
Mumbai,2020-01-22,293,89.81896388819172,23.791604145310455,68.80183007687619,29,5,0,0
Mumbai,2020-01-23,281,74.28208186617061,29.273943787909012,60.158398775951945,22,4,0,0
Mumbai,2020-01-24,268,105.0728693993139,29.851048876357044,69.52118047425427,34,2,0,0
Mumbai,2020-01-25,290,111.9134524930981,23.29274403899784,55.89953309010303,28,1,0,1
Mumbai,2020-01-26,282,81.90291009537334,29.724661374692836,76.84761259587967,29,8,0,1
Mumbai,2020-01-27,287,71.57180824190213,30.149225984011593,77.58862609689692,15,5,1,0
Mumbai,2020-01-28,289,100.24229125514402,31.194181360297243,71.97170167832394,29,7,0,0
Mumbai,2020-01-29,262,65.33880607763972,25.60992359863703,69.72810895148685,28,7,0,0
Mumbai,2020-01-30,276,74.82746251711349,34.46216930497907,41.651103682684706,33,7,0,0
Mumbai,2020-01-31,250,68.8394927440427,31.62715454883113,59.81538867280551,28,6,0,0
Mumbai,2020-02-01,249,83.35937965194088,32.16015192923404,42.74359444793684,32,4,0,1
Mumbai,2020-02-02,267,86.41551733584258,24.75025838039257,54.852216297084254,29,5,0,1
Mumbai,2020-02-03,278,141.76398079430757,28.36487551397655,63.569735217755515,28,3,0,0
Mumbai,2020-02-04,247,37.44323086881348,31.379711391099057,70.51248411056777,40,4,0,0
Mumbai,2020-02-05,268,85.80413464170077,27.530515571154382,79.69659052768992,27,6,0,0
